date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:11:31	14093/14093	---M--	200	added ('OK')	application/octet-stream	etag:%225e6c46be429202881f423144891c0cf8%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486070058.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486070058.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:11:33	199058/199058	---M--	200	added ('OK')	application/octet-stream	etag:%22b26fed2151c01b0018f0bccfa5864e0c%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486070059.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486070059.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:11:34	74747/74747	---M--	200	added ('OK')	application/octet-stream	etag:%228a7f9654875f27d5f51dacda171fc364%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486070060.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486070060.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:11:35	34800/34800	---M--	200	added ('OK')	application/octet-stream	etag:%220e7d147d12d267608f7274d2072c9e6d%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486070061.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486070061.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:11:36	17570/17570	---M--	200	added ('OK')	application/octet-stream	etag:%224069f0740573b01b3cecc31524aa8bca%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486070062.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486070062.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:11:38	55928/55928	---M--	200	added ('OK')	application/octet-stream	etag:%226f3a2fca37c4f44d1e22fffa1a0971b6%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486070063.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486070063.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:11:39	65834/65834	---M--	200	added ('OK')	application/octet-stream	etag:%22f66a89d287911b67ca87627d063bfffc%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486070064.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486070064.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:11:40	26209/26209	---M--	200	added ('OK')	application/octet-stream	etag:%22f6e7e46eebed2766c12225dcbb6fb76a%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486070066.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486070066.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:11:41	41139/41139	---M--	200	added ('OK')	application/octet-stream	etag:%223374edc308733d92e59f64abc144333d%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486070067.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486070067.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:11:42	32805/32805	---M--	200	added ('OK')	application/octet-stream	etag:%22c17f53c68c1bda1593d80c25b5523a0f%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599487871967.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599487871967.jpeg	(from https://mycrd.in/new-tiruppur-traders)
